147	0.0	7335.20	1.00	0.90
148	5.0	7335.20	1.00	0.90
149	7.0	7335.20	1.00	0.90
150	10.0	7335.20	1.00	0.90
151	15.0	7335.20	1.00	0.90
152	20.0	7335.20	1.00	0.90
153	30.0	7335.20	1.00	0.90
154	0.0	7335.20	1.00	1.00
155	5.0	7335.20	1.00	1.00
156	7.0	7335.20	1.00	1.00
157	10.0	7335.20	1.00	1.00
158	15.0	7335.20	1.00	1.00
159	20.0	7335.20	1.00	1.00
160	30.0	7335.20	1.00	1.00
161	0.0	7335.20	1.00	1.10
162	5.0	7335.20	1.00	1.10
163	7.0	7335.20	1.00	1.10
164	10.0	7335.20	1.00	1.10
165	15.0	7335.20	1.00	1.10
166	20.0	7335.20	1.00	1.10
167	30.0	7335.20	1.00	1.10
168	0.0	7335.20	1.10	0.90
169	5.0	7335.20	1.10	0.90
170	7.0	7335.20	1.10	0.90
171	10.0	7335.20	1.10	0.90
172	15.0	7335.20	1.10	0.90
173	20.0	7335.20	1.10	0.90
174	30.0	7335.20	1.10	0.90
175	0.0	7335.20	1.10	1.00
176	5.0	7335.20	1.10	1.00
177	7.0	7335.20	1.10	1.00
178	10.0	7335.20	1.10	1.00
179	15.0	7335.20	1.10	1.00
180	20.0	7335.20	1.10	1.00
181	30.0	7335.20	1.10	1.00
182	0.0	7335.20	1.10	1.10
183	5.0	7335.20	1.10	1.10
184	7.0	7335.20	1.10	1.10
185	10.0	7335.20	1.10	1.10
186	15.0	7335.20	1.10	1.10
187	20.0	7335.20	1.10	1.10
188	30.0	7335.20	1.10	1.10
