Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
1:21:00:00,3,0,14:LN2 Level,0
1:21:00:00,3,1,15:AC Detector Leakage Current,-209
1:21:00:00,3,1,73:DC Detector Leakage Current,57.324936
1:21:00:00,3,1,16:Charge Loop DC Level,-1.6199999
1:22:00:00,3,0,11:PRTD 1,-183.31686
1:22:00:00,3,0,12:PRTD 2,-190.55609
1:22:00:00,3,0,13:Ambient Temperature,30.674011
1:22:00:00,3,0,14:LN2 Level,0
1:22:00:00,3,1,15:AC Detector Leakage Current,-209
1:22:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:22:00:00,3,1,16:Charge Loop DC Level,-1.6399999
1:23:00:00,3,0,11:PRTD 1,-183.30034
1:23:00:00,3,0,12:PRTD 2,-190.56155
1:23:00:00,3,0,13:Ambient Temperature,30.878082
1:23:00:00,3,0,14:LN2 Level,0
1:23:00:00,3,1,15:AC Detector Leakage Current,-209
1:23:00:00,3,1,73:DC Detector Leakage Current,44.586098
1:23:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:00:00:00,3,0,11:PRTD 1,-183.28932
2:00:00:00,3,0,12:PRTD 2,-190.55609
2:00:00:00,3,0,13:Ambient Temperature,30.674011
2:00:00:00,3,0,14:LN2 Level,0
2:00:00:00,3,1,15:AC Detector Leakage Current,-209
2:00:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:00:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:01:00:00,3,0,11:PRTD 1,-183.29483
2:01:00:00,3,0,12:PRTD 2,-190.54515
2:01:00:00,3,0,13:Ambient Temperature,30.674011
2:01:00:00,3,0,14:LN2 Level,0
2:01:00:00,3,1,15:AC Detector Leakage Current,-209
2:01:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:01:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:02:00:00,3,0,11:PRTD 1,-183.32788
2:02:00:00,3,0,12:PRTD 2,-190.55063
2:02:00:00,3,0,13:Ambient Temperature,30.46994
2:02:00:00,3,0,14:LN2 Level,0
2:02:00:00,3,1,15:AC Detector Leakage Current,-209
2:02:00:00,3,1,73:DC Detector Leakage Current,57.324936
2:02:00:00,3,1,16:Charge Loop DC Level,-1.6199999
2:03:00:00,3,0,11:PRTD 1,-183.32788
2:03:00:00,3,0,12:PRTD 2,-190.55063
2:03:00:00,3,0,13:Ambient Temperature,30.265839
2:03:00:00,3,0,14:LN2 Level,0
2:03:00:00,3,1,15:AC Detector Leakage Current,-209
2:03:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:03:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:04:00:00,3,0,11:PRTD 1,-183.31136
2:04:00:00,3,0,12:PRTD 2,-190.53967
2:04:00:00,3,0,13:Ambient Temperature,30.46994
2:04:00:00,3,0,14:LN2 Level,0
2:04:00:00,3,1,15:AC Detector Leakage Current,-209
2:04:00:00,3,1,73:DC Detector Leakage Current,57.324936
2:04:00:00,3,1,16:Charge Loop DC Level,-1.6199999
2:05:00:00,3,0,11:PRTD 1,-183.31136
2:05:00:00,3,0,12:PRTD 2,-190.56155
2:05:00:00,3,0,13:Ambient Temperature,30.46994
2:05:00:00,3,0,14:LN2 Level,0
2:05:00:00,3,1,15:AC Detector Leakage Current,-209
2:05:00:00,3,1,73:DC Detector Leakage Current,57.324936
2:05:00:00,3,1,16:Charge Loop DC Level,-1.6199999
2:06:00:00,3,0,11:PRTD 1,-183.30034
