Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
1:07:00:00,3,0,13:Ambient Temperature,29.245453
1:07:00:00,3,0,14:LN2 Level,0
1:07:00:00,3,1,15:AC Detector Leakage Current,-247
1:07:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:07:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:08:00:00,3,0,11:PRTD 1,-167.3989
1:08:00:00,3,0,12:PRTD 2,-197.50656
1:08:00:00,3,0,13:Ambient Temperature,29.245453
1:08:00:00,3,0,14:LN2 Level,0
1:08:00:00,3,1,15:AC Detector Leakage Current,-247
1:08:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:08:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:09:00:00,3,0,11:PRTD 1,-167.37096
1:09:00:00,3,0,12:PRTD 2,-197.53374
1:09:00:00,3,0,13:Ambient Temperature,29.245453
1:09:00:00,3,0,14:LN2 Level,0
1:09:00:00,3,1,15:AC Detector Leakage Current,-247
1:09:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:09:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:10:00:00,3,0,11:PRTD 1,-167.37096
1:10:00:00,3,0,12:PRTD 2,-197.4957
1:10:00:00,3,0,13:Ambient Temperature,29.245453
1:10:00:00,3,0,14:LN2 Level,0
1:10:00:00,3,1,15:AC Detector Leakage Current,-247
1:10:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:11:00:00,3,0,11:PRTD 1,-167.37656
1:11:00:00,3,0,12:PRTD 2,-197.51201
1:11:00:00,3,0,13:Ambient Temperature,29.041351
1:11:00:00,3,0,14:LN2 Level,0
1:11:00:00,3,1,15:AC Detector Leakage Current,-247
1:11:00:00,3,1,73:DC Detector Leakage Current,-12.345631
1:11:00:00,3,1,16:Charge Loop DC Level,-0.67999995
1:12:00:00,3,0,11:PRTD 1,-167.34302
1:12:00:00,3,0,12:PRTD 2,-197.50114
1:12:00:00,3,0,13:Ambient Temperature,29.449524
1:12:00:00,3,0,14:LN2 Level,0
1:12:00:00,3,1,15:AC Detector Leakage Current,-247
1:12:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:12:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:13:00:00,3,0,11:PRTD 1,-167.36537
1:13:00:00,3,0,12:PRTD 2,-197.51201
1:13:00:00,3,0,13:Ambient Temperature,29.245453
1:13:00:00,3,0,14:LN2 Level,0
1:13:00:00,3,1,15:AC Detector Leakage Current,-247
1:13:00:00,3,1,73:DC Detector Leakage Current,-12.345631
1:13:00:00,3,1,16:Charge Loop DC Level,-0.67999995
1:14:00:00,3,0,11:PRTD 1,-167.35419
1:14:00:00,3,0,12:PRTD 2,-197.4957
1:14:00:00,3,0,13:Ambient Temperature,29.449524
1:14:00:00,3,0,14:LN2 Level,0
1:14:00:00,3,1,15:AC Detector Leakage Current,-247
1:14:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:14:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:15:00:00,3,0,11:PRTD 1,-167.37096
1:15:00:00,3,0,12:PRTD 2,-197.51201
1:15:00:00,3,0,13:Ambient Temperature,29.041351
1:15:00:00,3,0,14:LN2 Level,0
1:15:00:00,3,1,15:AC Detector Leakage Current,-247
1:15:00:00,3,1,73:DC Detector Leakage Current,-37.037
1:15:00:00,3,1,16:Charge Loop DC Level,-0.71999997
1:16:00:00,3,0,11:PRTD 1,-167.35977
1:16:00:00,3,0,12:PRTD 2,-197.51201
1:16:00:00,3,0,13:Ambient Temperature,29.449524
1:16:00:00,3,0,14:LN2 Level,0
1:16:00:00,3,1,15:AC Detector Leakage Current,-247
1:16:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:16:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:17:00:00,3,0,11:PRTD 1,-167.37656
1:17:00:00,3,0,12:PRTD 2,-197.52287
1:17:00:00,3,0,13:Ambient Temperature,29.041351
1:17:00:00,3,0,14:LN2 Level,0
1:17:00:00,3,1,15:AC Detector Leakage Current,-247
1:17:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:17:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:18:00:00,3,0,11:PRTD 1,-167.34302
1:18:00:00,3,0,12:PRTD 2,-197.4957
1:18:00:00,3,0,13:Ambient Temperature,29.449524
1:18:00:00,3,0,14:LN2 Level,0
1:18:00:00,3,1,15:AC Detector Leakage Current,-247
1:18:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:18:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:19:00:00,3,0,11:PRTD 1,-167.37096
1:19:00:00,3,0,12:PRTD 2,-197.51201
1:19:00:00,3,0,13:Ambient Temperature,29.041351
1:19:00:00,3,0,14:LN2 Level,0
1:19:00:00,3,1,15:AC Detector Leakage Current,-247
1:19:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:20:00:00,3,0,11:PRTD 1,-167.35977
1:20:00:00,3,0,12:PRTD 2,-197.51201
1:20:00:00,3,0,13:Ambient Temperature,29.245453
1:20:00:00,3,0,14:LN2 Level,0
1:20:00:00,3,1,15:AC Detector Leakage Current,-247
1:20:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:20:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:21:00:00,3,0,11:PRTD 1,-167.36537
1:21:00:00,3,0,12:PRTD 2,-197.4957
1:21:00:00,3,0,13:Ambient Temperature,29.449524
1:21:00:00,3,0,14:LN2 Level,0
1:21:00:00,3,1,15:AC Detector Leakage Current,-247
1:21:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:22:00:00,3,0,11:PRTD 1,-167.35977
1:22:00:00,3,0,12:PRTD 2,-197.50656
1:22:00:00,3,0,13:Ambient Temperature,29.041351
1:22:00:00,3,0,14:LN2 Level,0
1:22:00:00,3,1,15:AC Detector Leakage Current,-247
1:22:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:22:00:00,3,1,16:Charge Loop DC Level,-0.65999997
1:23:00:00,3,0,11:PRTD 1,-167.3486
1:23:00:00,3,0,12:PRTD 2,-197.50656
1:23:00:00,3,0,13:Ambient Temperature,29.449524
1:23:00:00,3,0,14:LN2 Level,0
1:23:00:00,3,1,15:AC Detector Leakage Current,-247
1:23:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
1:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:00:00:00,3,0,11:PRTD 1,-167.3486
2:00:00:00,3,0,12:PRTD 2,-197.50114
2:00:00:00,3,0,13:Ambient Temperature,29.449524
2:00:00:00,3,0,14:LN2 Level,0
2:00:00:00,3,1,15:AC Detector Leakage Current,-247
2:00:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:01:00:00,3,0,11:PRTD 1,-167.34302
2:01:00:00,3,0,12:PRTD 2,-197.52287
2:01:00:00,3,0,13:Ambient Temperature,29.245453
2:01:00:00,3,0,14:LN2 Level,0
2:01:00:00,3,1,15:AC Detector Leakage Current,-247
2:01:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:01:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:02:00:00,3,0,11:PRTD 1,-167.3486
2:02:00:00,3,0,12:PRTD 2,-197.51201
2:02:00:00,3,0,13:Ambient Temperature,29.449524
2:02:00:00,3,0,14:LN2 Level,0
2:02:00:00,3,1,15:AC Detector Leakage Current,-247
2:02:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:03:00:00,3,0,11:PRTD 1,-167.37096
2:03:00:00,3,0,12:PRTD 2,-197.51201
2:03:00:00,3,0,13:Ambient Temperature,28.83728
2:03:00:00,3,0,14:LN2 Level,0
2:03:00:00,3,1,15:AC Detector Leakage Current,-247
2:03:00:00,3,1,73:DC Detector Leakage Current,-12.345631
2:03:00:00,3,1,16:Charge Loop DC Level,-0.67999995
2:04:00:00,3,0,11:PRTD 1,-167.34302
2:04:00:00,3,0,12:PRTD 2,-197.51744
2:04:00:00,3,0,13:Ambient Temperature,29.245453
2:04:00:00,3,0,14:LN2 Level,0
2:04:00:00,3,1,15:AC Detector Leakage Current,-247
2:04:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:05:00:00,3,0,11:PRTD 1,-167.3486
2:05:00:00,3,0,12:PRTD 2,-197.4957
2:05:00:00,3,0,13:Ambient Temperature,29.245453
2:05:00:00,3,0,14:LN2 Level,0
2:05:00:00,3,1,15:AC Detector Leakage Current,-247
2:05:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:06:00:00,3,0,11:PRTD 1,-167.37096
2:06:00:00,3,0,12:PRTD 2,-197.51744
2:06:00:00,3,0,13:Ambient Temperature,28.83728
2:06:00:00,3,0,14:LN2 Level,0
2:06:00:00,3,1,15:AC Detector Leakage Current,-247
2:06:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:06:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:07:00:00,3,0,11:PRTD 1,-167.34302
2:07:00:00,3,0,12:PRTD 2,-197.51201
2:07:00:00,3,0,13:Ambient Temperature,29.245453
2:07:00:00,3,0,14:LN2 Level,0
2:07:00:00,3,1,15:AC Detector Leakage Current,-247
2:07:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:07:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:08:00:00,3,0,11:PRTD 1,-167.37656
2:08:00:00,3,0,12:PRTD 2,-197.50114
2:08:00:00,3,0,13:Ambient Temperature,28.83728
2:08:00:00,3,0,14:LN2 Level,0
2:08:00:00,3,1,15:AC Detector Leakage Current,-247
2:08:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:08:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:09:00:00,3,0,11:PRTD 1,-167.35977
2:09:00:00,3,0,12:PRTD 2,-197.51744
2:09:00:00,3,0,13:Ambient Temperature,29.245453
2:09:00:00,3,0,14:LN2 Level,0
2:09:00:00,3,1,15:AC Detector Leakage Current,-247
2:09:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:09:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:10:00:00,3,0,11:PRTD 1,-167.37656
2:10:00:00,3,0,12:PRTD 2,-197.49026
2:10:00:00,3,0,13:Ambient Temperature,29.041351
2:10:00:00,3,0,14:LN2 Level,0
2:10:00:00,3,1,15:AC Detector Leakage Current,-247
2:10:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:11:00:00,3,0,11:PRTD 1,-167.3486
2:11:00:00,3,0,12:PRTD 2,-197.51201
2:11:00:00,3,0,13:Ambient Temperature,29.041351
2:11:00:00,3,0,14:LN2 Level,0
2:11:00:00,3,1,15:AC Detector Leakage Current,-247
2:11:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:11:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:12:00:00,3,0,11:PRTD 1,-167.35419
2:12:00:00,3,0,12:PRTD 2,-197.50114
2:12:00:00,3,0,13:Ambient Temperature,29.449524
