Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:20:00:00,3,1,73:DC Detector Leakage Current,0
2:20:00:00,3,1,16:Charge Loop DC Level,-0.4
2:21:00:00,3,0,11:PRTD 1,-157.68674
2:21:00:00,3,0,12:PRTD 2,-199.2166
2:21:00:00,3,0,13:Ambient Temperature,27.20462
2:21:00:00,3,0,14:LN2 Level,0
2:21:00:00,3,1,15:AC Detector Leakage Current,-262
2:21:00:00,3,1,73:DC Detector Leakage Current,0
2:21:00:00,3,1,16:Charge Loop DC Level,-0.4
2:22:00:00,3,0,11:PRTD 1,-157.67545
2:22:00:00,3,0,12:PRTD 2,-199.20032
2:22:00:00,3,0,13:Ambient Temperature,27.408691
2:22:00:00,3,0,14:LN2 Level,0
2:22:00:00,3,1,15:AC Detector Leakage Current,-262
2:22:00:00,3,1,73:DC Detector Leakage Current,-10.582001
2:22:00:00,3,1,16:Charge Loop DC Level,-0.42
2:23:00:00,3,0,11:PRTD 1,-157.68109
2:23:00:00,3,0,12:PRTD 2,-199.18405
2:23:00:00,3,0,13:Ambient Temperature,27.408691
2:23:00:00,3,0,14:LN2 Level,0
2:23:00:00,3,1,15:AC Detector Leakage Current,-262
2:23:00:00,3,1,73:DC Detector Leakage Current,0
2:23:00:00,3,1,16:Charge Loop DC Level,-0.4
3:00:00:00,3,0,11:PRTD 1,-157.68109
3:00:00:00,3,0,12:PRTD 2,-199.18947
3:00:00:00,3,0,13:Ambient Temperature,27.408691
3:00:00:00,3,0,14:LN2 Level,0
3:00:00:00,3,1,15:AC Detector Leakage Current,-262
3:00:00:00,3,1,73:DC Detector Leakage Current,0
3:00:00:00,3,1,16:Charge Loop DC Level,-0.4
3:01:00:00,3,0,11:PRTD 1,-157.69237
3:01:00:00,3,0,12:PRTD 2,-199.1949
3:01:00:00,3,0,13:Ambient Temperature,27.00055
3:01:00:00,3,0,14:LN2 Level,0
3:01:00:00,3,1,15:AC Detector Leakage Current,-262
3:01:00:00,3,1,73:DC Detector Leakage Current,10.582031
3:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997
3:02:00:00,3,0,11:PRTD 1,-157.68674
3:02:00:00,3,0,12:PRTD 2,-199.20575
3:02:00:00,3,0,13:Ambient Temperature,27.00055
3:02:00:00,3,0,14:LN2 Level,0
3:02:00:00,3,1,15:AC Detector Leakage Current,-262
3:02:00:00,3,1,73:DC Detector Leakage Current,10.582031
3:02:00:00,3,1,16:Charge Loop DC Level,-0.37999997
3:03:00:00,3,0,11:PRTD 1,-157.68674
3:03:00:00,3,0,12:PRTD 2,-199.21117
3:03:00:00,3,0,13:Ambient Temperature,27.00055
3:03:00:00,3,0,14:LN2 Level,0
3:03:00:00,3,1,15:AC Detector Leakage Current,-262
3:03:00:00,3,1,73:DC Detector Leakage Current,0
3:03:00:00,3,1,16:Charge Loop DC Level,-0.4
3:04:00:00,3,0,11:PRTD 1,-157.6698
3:04:00:00,3,0,12:PRTD 2,-199.21117
3:04:00:00,3,0,13:Ambient Temperature,27.20462
3:04:00:00,3,0,14:LN2 Level,0
3:04:00:00,3,1,15:AC Detector Leakage Current,-262
3:04:00:00,3,1,73:DC Detector Leakage Current,10.582031
3:04:00:00,3,1,16:Charge Loop DC Level,-0.37999997
3:05:00:00,3,0,11:PRTD 1,-157.66417
3:05:00:00,3,0,12:PRTD 2,-199.20032
3:05:00:00,3,0,13:Ambient Temperature,27.408691
3:05:00:00,3,0,14:LN2 Level,0
3:05:00:00,3,1,15:AC Detector Leakage Current,-262
3:05:00:00,3,1,73:DC Detector Leakage Current,0
3:05:00:00,3,1,16:Charge Loop DC Level,-0.4
3:06:00:00,3,0,11:PRTD 1,-157.65854
3:06:00:00,3,0,12:PRTD 2,-199.18947
3:06:00:00,3,0,13:Ambient Temperature,27.408691
3:06:00:00,3,0,14:LN2 Level,0
3:06:00:00,3,1,15:AC Detector Leakage Current,-261
3:06:00:00,3,1,73:DC Detector Leakage Current,-21.164001
3:06:00:00,3,1,16:Charge Loop DC Level,-0.43999997
3:07:00:00,3,0,11:PRTD 1,-157.68674
3:07:00:00,3,0,12:PRTD 2,-199.18405
3:07:00:00,3,0,13:Ambient Temperature,27.20462
3:07:00:00,3,0,14:LN2 Level,0
3:07:00:00,3,1,15:AC Detector Leakage Current,-262
3:07:00:00,3,1,73:DC Detector Leakage Current,0
3:07:00:00,3,1,16:Charge Loop DC Level,-0.4
3:08:00:00,3,0,11:PRTD 1,-157.70364
3:08:00:00,3,0,12:PRTD 2,-199.20575
3:08:00:00,3,0,13:Ambient Temperature,27.00055
3:08:00:00,3,0,14:LN2 Level,0
3:08:00:00,3,1,15:AC Detector Leakage Current,-262
3:08:00:00,3,1,73:DC Detector Leakage Current,-21.164001
3:08:00:00,3,1,16:Charge Loop DC Level,-0.43999997
3:09:00:00,3,0,11:PRTD 1,-157.67545
3:09:00:00,3,0,12:PRTD 2,-199.22202
3:09:00:00,3,0,13:Ambient Temperature,27.20462
3:09:00:00,3,0,14:LN2 Level,0
3:09:00:00,3,1,15:AC Detector Leakage Current,-262
3:09:00:00,3,1,73:DC Detector Leakage Current,0
3:09:00:00,3,1,16:Charge Loop DC Level,-0.4
3:10:00:00,3,0,11:PRTD 1,-157.6529
3:10:00:00,3,0,12:PRTD 2,-199.21117
3:10:00:00,3,0,13:Ambient Temperature,27.612793
3:10:00:00,3,0,14:LN2 Level,0
3:10:00:00,3,1,15:AC Detector Leakage Current,-262
3:10:00:00,3,1,73:DC Detector Leakage Current,0
3:10:00:00,3,1,16:Charge Loop DC Level,-0.4
3:11:00:00,3,0,11:PRTD 1,-157.68109
3:11:00:00,3,0,12:PRTD 2,-199.18947
3:11:00:00,3,0,13:Ambient Temperature,27.20462
3:11:00:00,3,0,14:LN2 Level,0
3:11:00:00,3,1,15:AC Detector Leakage Current,-262
3:11:00:00,3,1,73:DC Detector Leakage Current,0
3:11:00:00,3,1,16:Charge Loop DC Level,-0.4
3:12:00:00,3,0,11:PRTD 1,-157.68109
3:12:00:00,3,0,12:PRTD 2,-199.18947
3:12:00:00,3,0,13:Ambient Temperature,27.00055
3:12:00:00,3,0,14:LN2 Level,0
3:12:00:00,3,1,15:AC Detector Leakage Current,-262
3:12:00:00,3,1,73:DC Detector Leakage Current,0
3:12:00:00,3,1,16:Charge Loop DC Level,-0.4
3:13:00:00,3,0,11:PRTD 1,-157.67545
3:13:00:00,3,0,12:PRTD 2,-199.20575
3:13:00:00,3,0,13:Ambient Temperature,27.00055
3:13:00:00,3,0,14:LN2 Level,0
3:13:00:00,3,1,15:AC Detector Leakage Current,-262
3:13:00:00,3,1,73:DC Detector Leakage Current,0
3:13:00:00,3,1,16:Charge Loop DC Level,-0.4
3:14:00:00,3,0,11:PRTD 1,-157.67545
3:14:00:00,3,0,12:PRTD 2,-199.22202
3:14:00:00,3,0,13:Ambient Temperature,27.00055
3:14:00:00,3,0,14:LN2 Level,0
3:14:00:00,3,1,15:AC Detector Leakage Current,-262
3:14:00:00,3,1,73:DC Detector Leakage Current,0
3:14:00:00,3,1,16:Charge Loop DC Level,-0.4
3:15:00:00,3,0,11:PRTD 1,-157.65854
3:15:00:00,3,0,12:PRTD 2,-199.2166
3:15:00:00,3,0,13:Ambient Temperature,27.20462
3:15:00:00,3,0,14:LN2 Level,0
3:15:00:00,3,1,15:AC Detector Leakage Current,-262
3:15:00:00,3,1,73:DC Detector Leakage Current,-10.582001
3:15:00:00,3,1,16:Charge Loop DC Level,-0.42
3:16:00:00,3,0,11:PRTD 1,-157.64162
3:16:00:00,3,0,12:PRTD 2,-199.20032
3:16:00:00,3,0,13:Ambient Temperature,27.408691
3:16:00:00,3,0,14:LN2 Level,0
3:16:00:00,3,1,15:AC Detector Leakage Current,-262
3:16:00:00,3,1,73:DC Detector Leakage Current,-21.164001
3:16:00:00,3,1,16:Charge Loop DC Level,-0.43999997
3:17:00:00,3,0,11:PRTD 1,-157.66417
3:17:00:00,3,0,12:PRTD 2,-199.18947
3:17:00:00,3,0,13:Ambient Temperature,27.408691
3:17:00:00,3,0,14:LN2 Level,0
3:17:00:00,3,1,15:AC Detector Leakage Current,-262
3:17:00:00,3,1,73:DC Detector Leakage Current,-21.164001
3:17:00:00,3,1,16:Charge Loop DC Level,-0.43999997
3:18:00:00,3,0,11:PRTD 1,-157.698
3:18:00:00,3,0,12:PRTD 2,-199.21117
3:18:00:00,3,0,13:Ambient Temperature,26.796448
3:18:00:00,3,0,14:LN2 Level,0
3:18:00:00,3,1,15:AC Detector Leakage Current,-262
3:18:00:00,3,1,73:DC Detector Leakage Current,0
3:18:00:00,3,1,16:Charge Loop DC Level,-0.4
3:19:00:00,3,0,11:PRTD 1,-157.66417
3:19:00:00,3,0,12:PRTD 2,-199.20575
3:19:00:00,3,0,13:Ambient Temperature,27.20462
3:19:00:00,3,0,14:LN2 Level,0
3:19:00:00,3,1,15:AC Detector Leakage Current,-262
3:19:00:00,3,1,73:DC Detector Leakage Current,0
3:19:00:00,3,1,16:Charge Loop DC Level,-0.4
3:20:00:00,3,0,11:PRTD 1,-157.66417
3:20:00:00,3,0,12:PRTD 2,-199.1949
3:20:00:00,3,0,13:Ambient Temperature,27.408691
3:20:00:00,3,0,14:LN2 Level,0
3:20:00:00,3,1,15:AC Detector Leakage Current,-262
3:20:00:00,3,1,73:DC Detector Leakage Current,10.582031
3:20:00:00,3,1,16:Charge Loop DC Level,-0.37999997
3:21:00:00,3,0,11:PRTD 1,-157.698
3:21:00:00,3,0,12:PRTD 2,-199.1732
3:21:00:00,3,0,13:Ambient Temperature,27.00055
3:21:00:00,3,0,14:LN2 Level,0
3:21:00:00,3,1,15:AC Detector Leakage Current,-262
3:21:00:00,3,1,73:DC Detector Leakage Current,0
3:21:00:00,3,1,16:Charge Loop DC Level,-0.4
3:22:00:00,3,0,11:PRTD 1,-157.70364
3:22:00:00,3,0,12:PRTD 2,-199.1949
3:22:00:00,3,0,13:Ambient Temperature,26.796448
3:22:00:00,3,0,14:LN2 Level,0
3:22:00:00,3,1,15:AC Detector Leakage Current,-262
3:22:00:00,3,1,73:DC Detector Leakage Current,0
3:22:00:00,3,1,16:Charge Loop DC Level,-0.4
3:23:00:00,3,0,11:PRTD 1,-157.69237
3:23:00:00,3,0,12:PRTD 2,-199.22202
3:23:00:00,3,0,13:Ambient Temperature,27.00055
3:23:00:00,3,0,14:LN2 Level,0
3:23:00:00,3,1,15:AC Detector Leakage Current,-262
3:23:00:00,3,1,73:DC Detector Leakage Current,10.582031
3:23:00:00,3,1,16:Charge Loop DC Level,-0.37999997
4:00:00:00,3,0,11:PRTD 1,-157.65854
4:00:00:00,3,0,12:PRTD 2,-199.20575
4:00:00:00,3,0,13:Ambient Temperature,27.408691
4:00:00:00,3,0,14:LN2 Level,0
4:00:00:00,3,1,15:AC Detector Leakage Current,-262
4:00:00:00,3,1,73:DC Detector Leakage Current,10.582031
4:00:00:00,3,1,16:Charge Loop DC Level,-0.37999997
4:01:00:00,3,0,11:PRTD 1,-157.68109
4:01:00:00,3,0,12:PRTD 2,-199.18405
4:01:00:00,3,0,13:Ambient Temperature,27.20462
4:01:00:00,3,0,14:LN2 Level,0
4:01:00:00,3,1,15:AC Detector Leakage Current,-262
4:01:00:00,3,1,73:DC Detector Leakage Current,10.582031
4:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997
4:02:00:00,3,0,11:PRTD 1,-157.71492
4:02:00:00,3,0,12:PRTD 2,-199.2166
4:02:00:00,3,0,13:Ambient Temperature,26.796448
4:02:00:00,3,0,14:LN2 Level,0
4:02:00:00,3,1,15:AC Detector Leakage Current,-262
4:02:00:00,3,1,73:DC Detector Leakage Current,0
4:02:00:00,3,1,16:Charge Loop DC Level,-0.4
4:03:00:00,3,0,11:PRTD 1,-157.67545
4:03:00:00,3,0,12:PRTD 2,-199.2166
4:03:00:00,3,0,13:Ambient Temperature,27.20462
4:03:00:00,3,0,14:LN2 Level,0
