Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
90:19:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:19:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:20:00:00,3,0,11:PRTD 1,-157.71492,
90:20:00:00,3,0,12:PRTD 2,-199.2166,
90:20:00:00,3,0,13:Ambient Temperature,27.00055,
90:20:00:00,3,0,14:LN2 Level,0.0,
90:20:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:20:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:20:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:21:00:00,3,0,11:PRTD 1,-157.68674,
90:21:00:00,3,0,12:PRTD 2,-199.2166,
90:21:00:00,3,0,13:Ambient Temperature,27.20462,
90:21:00:00,3,0,14:LN2 Level,0.0,
90:21:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:21:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:21:00:00,3,1,16:Charge Loop DC Level,-0.4,
90:22:00:00,3,0,11:PRTD 1,-157.67545,
90:22:00:00,3,0,12:PRTD 2,-199.20032,
90:22:00:00,3,0,13:Ambient Temperature,27.408691,
90:22:00:00,3,0,14:LN2 Level,0.0,
90:22:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:22:00:00,3,1,73:DC Detector Leakage Current,-10.582001,
90:22:00:00,3,1,16:Charge Loop DC Level,-0.42,
90:23:00:00,3,0,11:PRTD 1,-157.68109,
90:23:00:00,3,0,12:PRTD 2,-199.18405,
90:23:00:00,3,0,13:Ambient Temperature,27.408691,
90:23:00:00,3,0,14:LN2 Level,0.0,
90:23:00:00,3,1,15:AC Detector Leakage Current,-262.0,
90:23:00:00,3,1,73:DC Detector Leakage Current,0.0,
90:23:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:00:00:00,3,0,11:PRTD 1,-157.68109,
91:00:00:00,3,0,12:PRTD 2,-199.18947,
91:00:00:00,3,0,13:Ambient Temperature,27.408691,
91:00:00:00,3,0,14:LN2 Level,0.0,
91:00:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:00:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:00:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:01:00:00,3,0,11:PRTD 1,-157.69237,
91:01:00:00,3,0,12:PRTD 2,-199.1949,
91:01:00:00,3,0,13:Ambient Temperature,27.00055,
91:01:00:00,3,0,14:LN2 Level,0.0,
91:01:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:01:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:01:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
91:02:00:00,3,0,11:PRTD 1,-157.68674,
91:02:00:00,3,0,12:PRTD 2,-199.20575,
91:02:00:00,3,0,13:Ambient Temperature,27.00055,
91:02:00:00,3,0,14:LN2 Level,0.0,
91:02:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:02:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:02:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
91:03:00:00,3,0,11:PRTD 1,-157.68674,
91:03:00:00,3,0,12:PRTD 2,-199.21117,
91:03:00:00,3,0,13:Ambient Temperature,27.00055,
91:03:00:00,3,0,14:LN2 Level,0.0,
91:03:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:03:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:03:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:04:00:00,3,0,11:PRTD 1,-157.6698,
91:04:00:00,3,0,12:PRTD 2,-199.21117,
91:04:00:00,3,0,13:Ambient Temperature,27.20462,
91:04:00:00,3,0,14:LN2 Level,0.0,
91:04:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:04:00:00,3,1,73:DC Detector Leakage Current,10.582031,
91:04:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
91:05:00:00,3,0,11:PRTD 1,-157.66417,
91:05:00:00,3,0,12:PRTD 2,-199.20032,
91:05:00:00,3,0,13:Ambient Temperature,27.408691,
91:05:00:00,3,0,14:LN2 Level,0.0,
91:05:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:05:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:05:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:06:00:00,3,0,11:PRTD 1,-157.65854,
91:06:00:00,3,0,12:PRTD 2,-199.18947,
91:06:00:00,3,0,13:Ambient Temperature,27.408691,
91:06:00:00,3,0,14:LN2 Level,0.0,
91:06:00:00,3,1,15:AC Detector Leakage Current,-261.0,
91:06:00:00,3,1,73:DC Detector Leakage Current,-21.164001,
91:06:00:00,3,1,16:Charge Loop DC Level,-0.43999997,
91:07:00:00,3,0,11:PRTD 1,-157.68674,
91:07:00:00,3,0,12:PRTD 2,-199.18405,
91:07:00:00,3,0,13:Ambient Temperature,27.20462,
91:07:00:00,3,0,14:LN2 Level,0.0,
91:07:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:07:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:07:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:08:00:00,3,0,11:PRTD 1,-157.70364,
91:08:00:00,3,0,12:PRTD 2,-199.20575,
91:08:00:00,3,0,13:Ambient Temperature,27.00055,
91:08:00:00,3,0,14:LN2 Level,0.0,
91:08:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:08:00:00,3,1,73:DC Detector Leakage Current,-21.164001,
91:08:00:00,3,1,16:Charge Loop DC Level,-0.43999997,
91:09:00:00,3,0,11:PRTD 1,-157.67545,
91:09:00:00,3,0,12:PRTD 2,-199.22202,
91:09:00:00,3,0,13:Ambient Temperature,27.20462,
91:09:00:00,3,0,14:LN2 Level,0.0,
91:09:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:09:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:09:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:10:00:00,3,0,11:PRTD 1,-157.6529,
91:10:00:00,3,0,12:PRTD 2,-199.21117,
