Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
83:03:00:00,3,0,12:PRTD 2,-197.50114,
83:03:00:00,3,0,13:Ambient Temperature,28.225037,
83:03:00:00,3,0,14:LN2 Level,0.0,
83:03:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:03:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:04:00:00,3,0,11:PRTD 1,-167.1194,
83:04:00:00,3,0,12:PRTD 2,-197.49026,
83:04:00:00,3,0,13:Ambient Temperature,27.816864,
83:04:00:00,3,0,14:LN2 Level,0.0,
83:04:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:04:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:05:00:00,3,0,11:PRTD 1,-167.13058,
83:05:00:00,3,0,12:PRTD 2,-197.4957,
83:05:00:00,3,0,13:Ambient Temperature,27.612793,
83:05:00:00,3,0,14:LN2 Level,0.0,
83:05:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:05:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:06:00:00,3,0,11:PRTD 1,-167.14737,
83:06:00:00,3,0,12:PRTD 2,-197.48483,
83:06:00:00,3,0,13:Ambient Temperature,27.816864,
83:06:00:00,3,0,14:LN2 Level,0.0,
83:06:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:06:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:06:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:07:00:00,3,0,11:PRTD 1,-167.11382,
83:07:00:00,3,0,12:PRTD 2,-197.48483,
83:07:00:00,3,0,13:Ambient Temperature,28.633179,
83:07:00:00,3,0,14:LN2 Level,0.0,
83:07:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:07:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:07:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:08:00:00,3,0,11:PRTD 1,-167.10822,
83:08:00:00,3,0,12:PRTD 2,-197.50114,
83:08:00:00,3,0,13:Ambient Temperature,28.429108,
83:08:00:00,3,0,14:LN2 Level,0.0,
83:08:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:08:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:08:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:09:00:00,3,0,11:PRTD 1,-167.10263,
83:09:00:00,3,0,12:PRTD 2,-197.4957,
83:09:00:00,3,0,13:Ambient Temperature,28.429108,
83:09:00:00,3,0,14:LN2 Level,0.0,
83:09:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:09:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:09:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:10:00:00,3,0,11:PRTD 1,-167.10263,
83:10:00:00,3,0,12:PRTD 2,-197.49026,
83:10:00:00,3,0,13:Ambient Temperature,28.429108,
83:10:00:00,3,0,14:LN2 Level,0.0,
83:10:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:10:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
