Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
0:13:00:00,3,0,11:PRTD 1,-157.55139
0:13:00:00,3,0,12:PRTD 2,-198.53836
0:13:00:00,3,0,13:Ambient Temperature,33.73523
0:13:00:00,3,0,14:LN2 Level,0
0:13:00:00,3,1,15:AC Detector Leakage Current,-258
0:13:00:00,3,1,73:DC Detector Leakage Current,-10.582001
0:13:00:00,3,1,16:Charge Loop DC Level,-0.42
0:14:00:00,3,0,11:PRTD 1,-157.55704
0:14:00:00,3,0,12:PRTD 2,-198.53293
0:14:00:00,3,0,13:Ambient Temperature,33.73523
0:14:00:00,3,0,14:LN2 Level,0
0:14:00:00,3,1,15:AC Detector Leakage Current,-258
0:14:00:00,3,1,73:DC Detector Leakage Current,0
0:14:00:00,3,1,16:Charge Loop DC Level,-0.4
0:15:00:00,3,0,11:PRTD 1,-157.56831
0:15:00:00,3,0,12:PRTD 2,-198.5275
0:15:00:00,3,0,13:Ambient Temperature,33.73523
0:15:00:00,3,0,14:LN2 Level,0
0:15:00:00,3,1,15:AC Detector Leakage Current,-258
0:15:00:00,3,1,73:DC Detector Leakage Current,0
0:15:00:00,3,1,16:Charge Loop DC Level,-0.4
0:16:00:00,3,0,11:PRTD 1,-157.57959
0:16:00:00,3,0,12:PRTD 2,-198.53836
0:16:00:00,3,0,13:Ambient Temperature,33.73523
0:16:00:00,3,0,14:LN2 Level,0
0:16:00:00,3,1,15:AC Detector Leakage Current,-258
0:16:00:00,3,1,73:DC Detector Leakage Current,0
0:16:00:00,3,1,16:Charge Loop DC Level,-0.4
0:17:00:00,3,0,11:PRTD 1,-157.57394
0:17:00:00,3,0,12:PRTD 2,-198.53293
0:17:00:00,3,0,13:Ambient Temperature,33.73523
0:17:00:00,3,0,14:LN2 Level,0
0:17:00:00,3,1,15:AC Detector Leakage Current,-258
0:17:00:00,3,1,73:DC Detector Leakage Current,0
0:17:00:00,3,1,16:Charge Loop DC Level,-0.4
0:18:00:00,3,0,11:PRTD 1,-157.57959
0:18:00:00,3,0,12:PRTD 2,-198.5275
0:18:00:00,3,0,13:Ambient Temperature,33.53116
0:18:00:00,3,0,14:LN2 Level,0
0:18:00:00,3,1,15:AC Detector Leakage Current,-258
0:18:00:00,3,1,73:DC Detector Leakage Current,0
0:18:00:00,3,1,16:Charge Loop DC Level,-0.4
0:19:00:00,3,0,11:PRTD 1,-157.60779
0:19:00:00,3,0,12:PRTD 2,-198.53293
0:19:00:00,3,0,13:Ambient Temperature,33.53116
0:19:00:00,3,0,14:LN2 Level,0
0:19:00:00,3,1,15:AC Detector Leakage Current,-258
0:19:00:00,3,1,73:DC Detector Leakage Current,0
0:19:00:00,3,1,16:Charge Loop DC Level,-0.4
0:20:00:00,3,0,11:PRTD 1,-157.61906
0:20:00:00,3,0,12:PRTD 2,-198.53836
0:20:00:00,3,0,13:Ambient Temperature,33.53116
0:20:00:00,3,0,14:LN2 Level,0
0:20:00:00,3,1,15:AC Detector Leakage Current,-259
0:20:00:00,3,1,73:DC Detector Leakage Current,10.582031
0:20:00:00,3,1,16:Charge Loop DC Level,-0.37999997
0:21:00:00,3,0,11:PRTD 1,-157.63034
0:21:00:00,3,0,12:PRTD 2,-198.53293
0:21:00:00,3,0,13:Ambient Temperature,33.327087
0:21:00:00,3,0,14:LN2 Level,0
0:21:00:00,3,1,15:AC Detector Leakage Current,-259
0:21:00:00,3,1,73:DC Detector Leakage Current,0
0:21:00:00,3,1,16:Charge Loop DC Level,-0.4
0:22:00:00,3,0,11:PRTD 1,-157.6529
0:22:00:00,3,0,12:PRTD 2,-198.5275
0:22:00:00,3,0,13:Ambient Temperature,33.327087
0:22:00:00,3,0,14:LN2 Level,0
0:22:00:00,3,1,15:AC Detector Leakage Current,-259
0:22:00:00,3,1,73:DC Detector Leakage Current,0
0:22:00:00,3,1,16:Charge Loop DC Level,-0.4
0:23:00:00,3,0,11:PRTD 1,-157.64725
0:23:00:00,3,0,12:PRTD 2,-198.53293
0:23:00:00,3,0,13:Ambient Temperature,33.327087
0:23:00:00,3,0,14:LN2 Level,0
0:23:00:00,3,1,15:AC Detector Leakage Current,-259
0:23:00:00,3,1,73:DC Detector Leakage Current,0
0:23:00:00,3,1,16:Charge Loop DC Level,-0.4
1:00:00:00,3,0,11:PRTD 1,-157.61906
1:00:00:00,3,0,12:PRTD 2,-198.53293
1:00:00:00,3,0,13:Ambient Temperature,33.73523
1:00:00:00,3,0,14:LN2 Level,0
1:00:00:00,3,1,15:AC Detector Leakage Current,-258
1:00:00:00,3,1,73:DC Detector Leakage Current,-10.582001
1:00:00:00,3,1,16:Charge Loop DC Level,-0.42
1:01:00:00,3,0,11:PRTD 1,-157.57959
1:01:00:00,3,0,12:PRTD 2,-198.53836
1:01:00:00,3,0,13:Ambient Temperature,33.73523
1:01:00:00,3,0,14:LN2 Level,0
1:01:00:00,3,1,15:AC Detector Leakage Current,-258
1:01:00:00,3,1,73:DC Detector Leakage Current,0
1:01:00:00,3,1,16:Charge Loop DC Level,-0.4
1:02:00:00,3,0,11:PRTD 1,-157.56831
1:02:00:00,3,0,12:PRTD 2,-198.54378
1:02:00:00,3,0,13:Ambient Temperature,33.93933
1:02:00:00,3,0,14:LN2 Level,0
1:02:00:00,3,1,15:AC Detector Leakage Current,-258
1:02:00:00,3,1,73:DC Detector Leakage Current,0
1:02:00:00,3,1,16:Charge Loop DC Level,-0.4
1:03:00:00,3,0,11:PRTD 1,-157.54012
1:03:00:00,3,0,12:PRTD 2,-198.54378
1:03:00:00,3,0,13:Ambient Temperature,33.93933
1:03:00:00,3,0,14:LN2 Level,0
1:03:00:00,3,1,15:AC Detector Leakage Current,-259
1:03:00:00,3,1,73:DC Detector Leakage Current,10.582031
1:03:00:00,3,1,16:Charge Loop DC Level,-0.37999997
1:04:00:00,3,0,11:PRTD 1,-157.52884
1:04:00:00,3,0,12:PRTD 2,-198.54921
1:04:00:00,3,0,13:Ambient Temperature,33.93933
1:04:00:00,3,0,14:LN2 Level,0
1:04:00:00,3,1,15:AC Detector Leakage Current,-258
1:04:00:00,3,1,73:DC Detector Leakage Current,0
1:04:00:00,3,1,16:Charge Loop DC Level,-0.4
1:05:00:00,3,0,11:PRTD 1,-157.5232
1:05:00:00,3,0,12:PRTD 2,-198.54378
1:05:00:00,3,0,13:Ambient Temperature,33.93933
1:05:00:00,3,0,14:LN2 Level,0
1:05:00:00,3,1,15:AC Detector Leakage Current,-258
1:05:00:00,3,1,73:DC Detector Leakage Current,0
1:05:00:00,3,1,16:Charge Loop DC Level,-0.4
1:06:00:00,3,0,11:PRTD 1,-157.5232
1:06:00:00,3,0,12:PRTD 2,-198.54378
1:06:00:00,3,0,13:Ambient Temperature,34.143402
1:06:00:00,3,0,14:LN2 Level,0
1:06:00:00,3,1,15:AC Detector Leakage Current,-258
1:06:00:00,3,1,73:DC Detector Leakage Current,-21.164001
1:06:00:00,3,1,16:Charge Loop DC Level,-0.43999997
1:07:00:00,3,0,11:PRTD 1,-157.51192
1:07:00:00,3,0,12:PRTD 2,-198.53293
1:07:00:00,3,0,13:Ambient Temperature,33.93933
1:07:00:00,3,0,14:LN2 Level,0
1:07:00:00,3,1,15:AC Detector Leakage Current,-258
1:07:00:00,3,1,73:DC Detector Leakage Current,-31.746033
1:07:00:00,3,1,16:Charge Loop DC Level,-0.46
1:08:00:00,3,0,11:PRTD 1,-157.50064
1:08:00:00,3,0,12:PRTD 2,-198.53293
1:08:00:00,3,0,13:Ambient Temperature,34.143402
1:08:00:00,3,0,14:LN2 Level,0
1:08:00:00,3,1,15:AC Detector Leakage Current,-258
1:08:00:00,3,1,73:DC Detector Leakage Current,-21.164001
1:08:00:00,3,1,16:Charge Loop DC Level,-0.43999997
1:09:00:00,3,0,11:PRTD 1,-157.50064
1:09:00:00,3,0,12:PRTD 2,-198.53293
1:09:00:00,3,0,13:Ambient Temperature,33.93933
1:09:00:00,3,0,14:LN2 Level,0
1:09:00:00,3,1,15:AC Detector Leakage Current,-258
1:09:00:00,3,1,73:DC Detector Leakage Current,0
1:09:00:00,3,1,16:Charge Loop DC Level,-0.4
1:10:00:00,3,0,11:PRTD 1,-157.50064
1:10:00:00,3,0,12:PRTD 2,-198.53293
1:10:00:00,3,0,13:Ambient Temperature,33.93933
1:10:00:00,3,0,14:LN2 Level,0
1:10:00:00,3,1,15:AC Detector Leakage Current,-258
1:10:00:00,3,1,73:DC Detector Leakage Current,0
1:10:00:00,3,1,16:Charge Loop DC Level,-0.4
1:11:00:00,3,0,11:PRTD 1,-157.50064
1:11:00:00,3,0,12:PRTD 2,-198.53836
1:11:00:00,3,0,13:Ambient Temperature,33.93933
1:11:00:00,3,0,14:LN2 Level,0
1:11:00:00,3,1,15:AC Detector Leakage Current,-258
1:11:00:00,3,1,73:DC Detector Leakage Current,10.582031
1:11:00:00,3,1,16:Charge Loop DC Level,-0.37999997
1:12:00:00,3,0,11:PRTD 1,-157.56268
1:12:00:00,3,0,12:PRTD 2,-198.51665
1:12:00:00,3,0,13:Ambient Temperature,33.53116
1:12:00:00,3,0,14:LN2 Level,0
1:12:00:00,3,1,15:AC Detector Leakage Current,-258
1:12:00:00,3,1,73:DC Detector Leakage Current,0
1:12:00:00,3,1,16:Charge Loop DC Level,-0.4
1:13:00:00,3,0,11:PRTD 1,-157.60214
1:13:00:00,3,0,12:PRTD 2,-198.51665
1:13:00:00,3,0,13:Ambient Temperature,33.327087
1:13:00:00,3,0,14:LN2 Level,0
1:13:00:00,3,1,15:AC Detector Leakage Current,-259
1:13:00:00,3,1,73:DC Detector Leakage Current,0
1:13:00:00,3,1,16:Charge Loop DC Level,-0.4
1:14:00:00,3,0,11:PRTD 1,-157.61343
1:14:00:00,3,0,12:PRTD 2,-198.5275
1:14:00:00,3,0,13:Ambient Temperature,33.327087
1:14:00:00,3,0,14:LN2 Level,0
1:14:00:00,3,1,15:AC Detector Leakage Current,-259
1:14:00:00,3,1,73:DC Detector Leakage Current,0
1:14:00:00,3,1,16:Charge Loop DC Level,-0.4
1:15:00:00,3,0,11:PRTD 1,-157.60779
1:15:00:00,3,0,12:PRTD 2,-198.5275
1:15:00:00,3,0,13:Ambient Temperature,33.327087
1:15:00:00,3,0,14:LN2 Level,0
1:15:00:00,3,1,15:AC Detector Leakage Current,-259
1:15:00:00,3,1,73:DC Detector Leakage Current,-10.582001
1:15:00:00,3,1,16:Charge Loop DC Level,-0.42
1:16:00:00,3,0,11:PRTD 1,-157.60779
1:16:00:00,3,0,12:PRTD 2,-198.52206
1:16:00:00,3,0,13:Ambient Temperature,33.53116
1:16:00:00,3,0,14:LN2 Level,0
1:16:00:00,3,1,15:AC Detector Leakage Current,-258
1:16:00:00,3,1,73:DC Detector Leakage Current,0
1:16:00:00,3,1,16:Charge Loop DC Level,-0.4
1:17:00:00,3,0,11:PRTD 1,-157.60779
1:17:00:00,3,0,12:PRTD 2,-198.53293
1:17:00:00,3,0,13:Ambient Temperature,33.53116
1:17:00:00,3,0,14:LN2 Level,0
1:17:00:00,3,1,15:AC Detector Leakage Current,-258
1:17:00:00,3,1,73:DC Detector Leakage Current,0
1:17:00:00,3,1,16:Charge Loop DC Level,-0.4
1:18:00:00,3,0,11:PRTD 1,-157.61906
1:18:00:00,3,0,12:PRTD 2,-198.52206
1:18:00:00,3,0,13:Ambient Temperature,33.327087
1:18:00:00,3,0,14:LN2 Level,0
1:18:00:00,3,1,15:AC Detector Leakage Current,-259
1:18:00:00,3,1,73:DC Detector Leakage Current,0
1:18:00:00,3,1,16:Charge Loop DC Level,-0.4
1:19:00:00,3,0,11:PRTD 1,-157.61343
1:19:00:00,3,0,12:PRTD 2,-198.53293
1:19:00:00,3,0,13:Ambient Temperature,33.53116
1:19:00:00,3,0,14:LN2 Level,0
