Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
1:01:00:00,3,0,13:Ambient Temperature,34.551575
1:01:00:00,3,0,14:LN2 Level,0
1:02:00:00,3,0,11:PRTD 1,-168.29282
1:02:00:00,3,0,12:PRTD 2,-197.57721
1:02:00:00,3,0,13:Ambient Temperature,34.551575
1:02:00:00,3,0,14:LN2 Level,0
1:03:00:00,3,0,11:PRTD 1,-168.29282
1:03:00:00,3,0,12:PRTD 2,-197.56633
1:03:00:00,3,0,13:Ambient Temperature,34.551575
1:03:00:00,3,0,14:LN2 Level,0
1:04:00:00,3,0,11:PRTD 1,-168.27048
1:04:00:00,3,0,12:PRTD 2,-197.57178
1:04:00:00,3,0,13:Ambient Temperature,34.551575
1:04:00:00,3,0,14:LN2 Level,0
1:05:00:00,3,0,11:PRTD 1,-168.27048
1:05:00:00,3,0,12:PRTD 2,-197.57178
1:05:00:00,3,0,13:Ambient Temperature,34.755646
1:05:00:00,3,0,14:LN2 Level,0
1:06:00:00,3,0,11:PRTD 1,-168.25372
1:06:00:00,3,0,12:PRTD 2,-197.57178
1:06:00:00,3,0,13:Ambient Temperature,34.755646
1:06:00:00,3,0,14:LN2 Level,0
1:07:00:00,3,0,11:PRTD 1,-168.25931
1:07:00:00,3,0,12:PRTD 2,-197.57178
1:07:00:00,3,0,13:Ambient Temperature,34.755646
1:07:00:00,3,0,14:LN2 Level,0
1:08:00:00,3,0,11:PRTD 1,-168.25372
1:08:00:00,3,0,12:PRTD 2,-197.57721
1:08:00:00,3,0,13:Ambient Temperature,34.755646
1:08:00:00,3,0,14:LN2 Level,0
1:09:00:00,3,0,11:PRTD 1,-168.24814
1:09:00:00,3,0,12:PRTD 2,-197.56091
1:09:00:00,3,0,13:Ambient Temperature,34.755646
1:09:00:00,3,0,14:LN2 Level,0
1:10:00:00,3,0,11:PRTD 1,-168.24814
1:10:00:00,3,0,12:PRTD 2,-197.56633
1:10:00:00,3,0,13:Ambient Temperature,34.551575
1:10:00:00,3,0,14:LN2 Level,0
1:11:00:00,3,0,11:PRTD 1,-168.25372
1:11:00:00,3,0,12:PRTD 2,-197.56633
1:11:00:00,3,0,13:Ambient Temperature,34.551575
1:11:00:00,3,0,14:LN2 Level,0
1:12:00:00,3,0,11:PRTD 1,-168.29282
1:12:00:00,3,0,12:PRTD 2,-197.57721
1:12:00:00,3,0,13:Ambient Temperature,33.93933
1:12:00:00,3,0,14:LN2 Level,0
1:13:00:00,3,0,11:PRTD 1,-168.32632
1:13:00:00,3,0,12:PRTD 2,-197.56091
1:13:00:00,3,0,13:Ambient Temperature,33.93933
1:13:00:00,3,0,14:LN2 Level,0
1:14:00:00,3,0,11:PRTD 1,-168.32632
1:14:00:00,3,0,12:PRTD 2,-197.56091
1:14:00:00,3,0,13:Ambient Temperature,34.143402
1:14:00:00,3,0,14:LN2 Level,0
1:15:00:00,3,0,11:PRTD 1,-168.32632
1:15:00:00,3,0,12:PRTD 2,-197.56091
1:15:00:00,3,0,13:Ambient Temperature,34.143402
1:15:00:00,3,0,14:LN2 Level,0
1:16:00:00,3,0,11:PRTD 1,-168.32632
1:16:00:00,3,0,12:PRTD 2,-197.56091
1:16:00:00,3,0,13:Ambient Temperature,34.143402
1:16:00:00,3,0,14:LN2 Level,0
1:17:00:00,3,0,11:PRTD 1,-168.33191
1:17:00:00,3,0,12:PRTD 2,-197.56633
