Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
69:16:00:00,3,0,14:LN2 Level,0
69:16:00:00,3,1,15:AC Detector Leakage Current,-247
69:16:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:16:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:17:00:00,3,0,11:PRTD 1,-166.31406
69:17:00:00,3,0,12:PRTD 2,-197.53917
69:17:00:00,3,0,13:Ambient Temperature,30.061768
69:17:00:00,3,0,14:LN2 Level,0
69:17:00:00,3,1,15:AC Detector Leakage Current,-247
69:17:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:17:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:18:00:00,3,0,11:PRTD 1,-166.33084
69:18:00:00,3,0,12:PRTD 2,-197.53374
69:18:00:00,3,0,13:Ambient Temperature,30.061768
69:18:00:00,3,0,14:LN2 Level,0
69:18:00:00,3,1,15:AC Detector Leakage Current,-247
69:18:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:18:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:19:00:00,3,0,11:PRTD 1,-166.32524
69:19:00:00,3,0,12:PRTD 2,-197.5283
69:19:00:00,3,0,13:Ambient Temperature,30.061768
69:19:00:00,3,0,14:LN2 Level,0
69:19:00:00,3,1,15:AC Detector Leakage Current,-247
69:19:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:19:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:20:00:00,3,0,11:PRTD 1,-166.32524
69:20:00:00,3,0,12:PRTD 2,-197.51744
69:20:00:00,3,0,13:Ambient Temperature,30.061768
69:20:00:00,3,0,14:LN2 Level,0
69:20:00:00,3,1,15:AC Detector Leakage Current,-247
69:20:00:00,3,1,73:DC Detector Leakage Current,-49.382668
69:20:00:00,3,1,16:Charge Loop DC Level,-0.73999995
69:21:00:00,3,0,11:PRTD 1,-166.34763
69:21:00:00,3,0,12:PRTD 2,-197.5283
69:21:00:00,3,0,13:Ambient Temperature,30.061768
69:21:00:00,3,0,14:LN2 Level,0
69:21:00:00,3,1,15:AC Detector Leakage Current,-247
69:21:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:21:00:00,3,1,16:Charge Loop DC Level,-0.67999995
69:22:00:00,3,0,11:PRTD 1,-166.33643
69:22:00:00,3,0,12:PRTD 2,-197.53917
69:22:00:00,3,0,13:Ambient Temperature,30.265839
